"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",5151.95446608136,NA,5484.43700478509,NA,50.1062694975713,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",5158.53795066716,6.58348458580076,5414.29374967003,-70.1432551150601,80.6897540833814,30.5834845858101,0.00227935716021178,"sig"
"3","timecon_v_con","lh_bankssts",5152.96207146947,-5.57587919768412,5331.99113077148,-82.302618898545,99.1138748856983,18.4241208023169,0.103406474571755,"nonsig"
"5","uncon_v_errcon","lh_bankssts",5146.73551092363,-5.21895515772485,5402.4913099265,-81.9456948585857,68.8873143398494,18.7810448422781,0.0939512641433025,"nonsig"
"6","errcon_v_con","lh_bankssts",5152.96207146947,6.22656054584149,5331.99113077148,-70.5001791550194,99.1138748856983,30.2265605458489,0.00258122825404399,"sig"
"8","uncon_v_con","lh_bankssts",5152.96207146947,1.00760538811664,5331.99113077148,-152.445874013605,99.1138748856983,49.007605388127,0.00189007619085342,"sig"
"11","uncon","lh_caudalanteriorcingulate",2527.3392829155,NA,2859.82182161923,NA,18.0468439531921,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",2526.8124215231,-0.526861392399496,2782.56822052597,-77.2536010932604,41.519982560803,23.4731386076109,0.023967383620293,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",2803.13792347305,276.325501949944,2982.16698277505,199.598762249083,341.845484510754,300.325501949951,4.01218660993821e-57,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",2803.18736294679,275.848080031288,3058.94316194966,199.121340330427,317.894923984482,299.84808003129,5.05383159417022e-57,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",2803.13792347305,-0.049439473743405,2982.16698277505,-76.7761791746043,341.845484510754,23.9505605262719,0.0206582552119366,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",2803.13792347305,275.798640557545,2982.16698277505,122.345161155823,341.845484510754,323.798640557562,2.6236690481512e-54,"sig"
"12","uncon","lh_caudalmiddlefrontal",19541.798323137,NA,19874.2808618408,NA,18.3822381087353,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",19533.4288742155,-8.36944892153042,19789.1846732184,-85.0961886223922,34.0127891872132,15.6305510784778,0.208749348132705,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",19650.0296587493,116.600784533832,19829.0587180513,39.87404483297,174.613573721045,140.600784533832,4.52985222201976e-24,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",19659.3263826648,117.528059527751,19915.0821816677,40.8013198268891,159.910297636487,141.528059527751,2.94301082339839e-24,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",19650.0296587493,-9.29672391544955,19829.0587180513,-86.0234636163113,174.613573721045,14.7032760845582,0.258065877411839,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",19650.0296587493,108.231335612301,19829.0587180513,-45.2221437894223,174.613573721045,156.231335612309,2.28375857778081e-21,"sig"
"13","uncon","lh_cuneus",4514.60821810698,NA,4847.09075681071,NA,96.0966932957434,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",4507.00195821009,-7.60625989689197,4762.75775721296,-84.3329995977529,112.490433398832,16.3937401030884,0.173860156577089,"nonsig"
"33","timecon_v_con","lh_cuneus",4775.3304091413,268.32845093121,4954.3594684433,191.601711230349,404.81888433005,292.328450931218,1.91300752205589e-55,"sig"
"53","uncon_v_errcon","lh_cuneus",4782.88909423114,268.280876124158,5038.64489323401,191.554136423297,388.37756941989,292.280876124147,1.95747606330875e-55,"sig"
"63","errcon_v_con","lh_cuneus",4775.3304091413,-7.55868508983986,4954.3594684433,-84.2854247907007,404.81888433005,16.4413149101596,0.17184858920733,"nonsig"
"83","uncon_v_con","lh_cuneus",4775.3304091413,260.722191034318,4954.3594684433,107.268711632596,404.81888433005,308.722191034307,2.92729319533528e-51,"sig"
"14","uncon","lh_entorhinal",3799.93516562739,NA,4132.41770433112,NA,44.2667079913236,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",3789.50544393009,-10.4297216972982,4045.26124293296,-87.1564613981591,57.8369862940256,13.5702783027021,0.328986487531008,"nonsig"
"34","timecon_v_con","lh_entorhinal",3813.60174863793,24.096304707838,3992.63080793994,-52.6304349930233,105.933291001863,48.0963047078378,3.00731693237919e-06,"sig"
"54","uncon_v_errcon","lh_entorhinal",3822.98456338673,23.0493977593324,4078.7403623896,-53.6773419415285,91.3161057506561,47.0493977593326,4.57072998273157e-06,"sig"
"64","errcon_v_con","lh_entorhinal",3813.60174863793,-9.3828147487925,3992.63080793994,-86.1095544496538,105.933291001863,14.6171852512073,0.26304177389345,"nonsig"
"84","uncon_v_con","lh_entorhinal",3813.60174863793,13.6665830105399,3992.63080793994,-139.786896391182,105.933291001863,61.6665830105399,3.70210088796732e-05,"sig"
"15","uncon","lh_fusiform",20393.9539892593,NA,20726.436527963,NA,9.87222451384988,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",20386.3841921584,-7.5697971008849,20642.1399911613,-84.2965368017467,26.3024274129583,16.4302028991084,0.17231675599361,"nonsig"
"35","timecon_v_con","lh_fusiform",20605.331781143,218.947588984571,20784.360840445,142.220849283709,269.25001639754,242.947588984581,4.03580548218466e-45,"sig"
"55","uncon_v_errcon","lh_fusiform",20611.617115621,217.663126361669,20867.3729146238,140.936386660807,251.535350875509,241.66312636166,7.47195231770483e-45,"sig"
"65","errcon_v_con","lh_fusiform",20605.331781143,-6.28533447798327,20784.360840445,-83.0120741788451,269.25001639754,17.7146655220301,0.124632911735,"nonsig"
"85","uncon_v_con","lh_fusiform",20605.331781143,211.377791883686,20784.360840445,57.9243124819623,269.25001639754,259.37779188369,2.26862603033675e-41,"sig"
"16","uncon","lh_inferiorparietal",26148.4155615445,NA,26480.8981002482,NA,49.1216613843393,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",26137.4559662102,-10.9595953342832,26393.2117652131,-87.686335035145,62.1620660500445,13.0404046657052,0.366110751984964,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",26306.7636613882,169.307695178009,26485.7927206902,92.5809554771477,255.469761228071,193.307695178027,7.8252387410979e-35,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",26317.5425470087,169.126985464238,26573.2983460116,92.400245763376,242.24864684858,193.12698546424,8.52567911412621e-35,"sig"
"66","errcon_v_con","lh_inferiorparietal",26306.7636613882,-10.7788856205116,26485.7927206902,-87.5056253213734,255.469761228071,13.2211143794915,0.353176164707879,"nonsig"
"86","uncon_v_con","lh_inferiorparietal",26306.7636613882,158.348099843726,26485.7927206902,4.89462044200263,255.469761228071,206.348099843732,6.14627523368375e-31,"sig"
"17","uncon","lh_inferiortemporal",25059.8388458178,NA,25392.3213845216,NA,9.7944556889117,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",25048.3597948987,-11.4790509191553,25304.1155939015,-88.2057906200171,22.3154047697668,12.5209490808551,0.404798729374324,"nonsig"
"37","timecon_v_con","lh_inferiortemporal",25295.5386385631,247.178843664387,25474.5676978651,170.452103963526,293.494248434166,271.178843664399,5.15706451609731e-51,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",25306.5712421783,246.732396360509,25562.3270411812,170.005656659647,280.526852049438,270.732396360526,6.39435103759103e-51,"sig"
"67","errcon_v_con","lh_inferiortemporal",25295.5386385631,-11.0326036152765,25474.5676978651,-87.7593433161383,293.494248434166,12.9673963847275,0.371414909470047,"nonsig"
"87","uncon_v_con","lh_inferiortemporal",25295.5386385631,235.699792745232,25474.5676978651,82.2463133435085,293.494248434166,283.699792745254,3.15585831235667e-46,"sig"
"18","uncon","lh_isthmuscingulate",1751.79039836602,NA,2084.27293706975,NA,37.6493791543005,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",1735.8321028736,-15.9582954924231,1991.58790187647,-92.6850351932842,45.6910836618735,8.04170450757307,0.781862880557583,"nonsig"
"38","timecon_v_con","lh_isthmuscingulate",1754.94651796368,19.1144150900825,1933.97557726569,-57.6123246107784,88.8054987519541,43.1144150900806,2.15943531714329e-05,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",1770.94206031756,19.1516619515419,2026.69785932043,-57.5750777493192,80.8010411058397,43.1516619515392,2.12827785636849e-05,"sig"
"68","errcon_v_con","lh_isthmuscingulate",1754.94651796368,-15.9955423538825,1933.97557726569,-92.7222820547433,88.8054987519541,8.00445764611449,0.784781939601899,"nonsig"
"88","uncon_v_con","lh_isthmuscingulate",1754.94651796368,3.15611959765943,1933.97557726569,-150.297359804063,88.8054987519541,51.1561195976537,0.00100670375908941,"sig"
"19","uncon","lh_lateraloccipital",23924.3856955566,NA,24256.8682342603,NA,44.4554890658502,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",23919.7481432505,-4.63755230612151,24175.5039422534,-81.3642920069833,63.8179367597207,19.3624476938705,0.0801489177679917,"nonsig"
"39","timecon_v_con","lh_lateraloccipital",24063.2277253699,143.479582119413,24242.2567846719,66.7528424185512,231.297518879127,167.479582119406,1.56367156355477e-29,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",24067.6568523357,143.271156779112,24323.4126513386,66.5444170782503,211.72664584494,167.27115677909,1.72478098977733e-29,"sig"
"69","errcon_v_con","lh_lateraloccipital",24063.2277253699,-4.42912696582061,24242.2567846719,-81.1558666666824,231.297518879127,19.5708730341866,0.0756516259294081,"nonsig"
"89","uncon_v_con","lh_lateraloccipital",24063.2277253699,138.842029813291,24242.2567846719,-14.6114495884322,231.297518879127,186.842029813277,3.59108647129721e-27,"sig"
"110","uncon","lh_lateralorbitofrontal",17531.8545592487,NA,17864.3370979525,NA,22.3101357786983,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",17524.7598515167,-7.09470773205248,17780.5156505195,-83.8214474329143,39.2154280466444,16.9052922679462,0.153194765000209,"nonsig"
